nohup: ignoring input
2023-07-11 22:51:14.990933: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
Some weights of the model checkpoint at roberta-base were not used when initializing RobertaModel: ['lm_head.decoder.weight', 'lm_head.layer_norm.bias', 'lm_head.dense.bias', 'lm_head.layer_norm.weight', 'lm_head.dense.weight', 'lm_head.bias']
- This IS expected if you are initializing RobertaModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing RobertaModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
/userhome/cs2/u3603202/anaconda3/envs/torchenv/lib/python3.7/site-packages/transformers/optimization.py:310: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
  FutureWarning,
Some weights of the model checkpoint at roberta-base were not used when initializing RobertaModel: ['lm_head.decoder.weight', 'lm_head.layer_norm.bias', 'lm_head.dense.bias', 'lm_head.layer_norm.weight', 'lm_head.dense.weight', 'lm_head.bias']
- This IS expected if you are initializing RobertaModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing RobertaModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
There are 1 GPU(s) available.
Device name: NVIDIA GeForce RTX 2080 Ti
Max length:  348
Start training and testing:

 Epoch  | 每40个Batch |   训练集 Loss   |  测试集 Loss  |  测试集准确率   |    时间    
--------------------------------------------------------------------------------
   1    |     40     |    1.084179    |      -       |       -       |   16.53  
   1    |     80     |    0.990621    |      -       |       -       |   15.62  
   1    |    120     |    0.941643    |      -       |       -       |   15.77  
   1    |    160     |    0.897171    |      -       |       -       |   15.85  
   1    |    200     |    0.907281    |      -       |       -       |   15.85  
   1    |    240     |    0.876473    |      -       |       -       |   15.92  
   1    |    280     |    0.836368    |      -       |       -       |   16.01  
   1    |    320     |    0.864673    |      -       |       -       |   16.12  
   1    |    360     |    0.842316    |      -       |       -       |   16.17  
   1    |    400     |    0.778588    |      -       |       -       |   16.16  
   1    |    440     |    0.830483    |      -       |       -       |   16.11  
   1    |    480     |    0.781492    |      -       |       -       |   16.18  
   1    |    520     |    0.832405    |      -       |       -       |   16.05  
   1    |    560     |    0.821636    |      -       |       -       |   16.06  
   1    |    600     |    0.763701    |      -       |       -       |   16.11  
   1    |    640     |    0.799214    |      -       |       -       |   16.16  
   1    |    680     |    0.821109    |      -       |       -       |   16.20  
   1    |    720     |    0.740315    |      -       |       -       |   16.19  
   1    |    760     |    0.823285    |      -       |       -       |   16.04  
   1    |    800     |    0.777607    |      -       |       -       |   16.07  
   1    |    840     |    0.720975    |      -       |       -       |   16.18  
   1    |    880     |    0.770910    |      -       |       -       |   16.26  
   1    |    920     |    0.762707    |      -       |       -       |   16.24  
   1    |    960     |    0.724110    |      -       |       -       |   16.02  
   1    |    1000    |    0.736536    |      -       |       -       |   16.05  
   1    |    1040    |    0.720485    |      -       |       -       |   16.12  
   1    |    1080    |    0.697428    |      -       |       -       |   16.15  
   1    |    1120    |    0.739725    |      -       |       -       |   16.23  
   1    |    1160    |    0.691430    |      -       |       -       |   16.08  
   1    |    1200    |    0.712385    |      -       |       -       |   16.39  
   1    |    1240    |    0.719495    |      -       |       -       |   16.15  
   1    |    1280    |    0.730528    |      -       |       -       |   16.08  
   1    |    1320    |    0.741237    |      -       |       -       |   16.11  
   1    |    1360    |    0.681511    |      -       |       -       |   16.19  
   1    |    1400    |    0.654766    |      -       |       -       |   16.04  
   1    |    1440    |    0.708173    |      -       |       -       |   16.11  
   1    |    1480    |    0.688428    |      -       |       -       |   16.13  
   1    |    1520    |    0.702398    |      -       |       -       |   16.20  
   1    |    1560    |    0.689138    |      -       |       -       |   16.13  
   1    |    1600    |    0.750756    |      -       |       -       |   16.10  
   1    |    1640    |    0.635318    |      -       |       -       |   16.15  
   1    |    1680    |    0.658845    |      -       |       -       |   16.15  
   1    |    1720    |    0.690874    |      -       |       -       |   16.16  
   1    |    1760    |    0.653138    |      -       |       -       |   16.21  
   1    |    1800    |    0.702801    |      -       |       -       |   16.10  
   1    |    1840    |    0.650218    |      -       |       -       |   16.23  
   1    |    1880    |    0.603982    |      -       |       -       |   16.34  
   1    |    1920    |    0.691507    |      -       |       -       |   16.28  
   1    |    1960    |    0.644945    |      -       |       -       |   16.10  
   1    |    2000    |    0.568702    |      -       |       -       |   16.10  
   1    |    2040    |    0.681268    |      -       |       -       |   16.18  
   1    |    2080    |    0.674486    |      -       |       -       |   16.18  
   1    |    2120    |    0.629326    |      -       |       -       |   16.20  
   1    |    2160    |    0.634809    |      -       |       -       |   16.10  
   1    |    2200    |    0.633021    |      -       |       -       |   16.11  
   1    |    2240    |    0.614434    |      -       |       -       |   16.13  
   1    |    2280    |    0.627334    |      -       |       -       |   16.17  
   1    |    2320    |    0.605347    |      -       |       -       |   16.18  
   1    |    2360    |    0.601385    |      -       |       -       |   16.22  
   1    |    2400    |    0.702172    |      -       |       -       |   16.28  
   1    |    2440    |    0.612542    |      -       |       -       |   16.09  
   1    |    2480    |    0.663156    |      -       |       -       |   16.12  
   1    |    2520    |    0.585182    |      -       |       -       |   16.17  
   1    |    2560    |    0.584928    |      -       |       -       |   16.20  
   1    |    2600    |    0.625227    |      -       |       -       |   16.41  
   1    |    2640    |    0.613734    |      -       |       -       |   16.24  
   1    |    2680    |    0.599576    |      -       |       -       |   16.07  
   1    |    2720    |    0.584848    |      -       |       -       |   16.07  
